fireID,fireName,fireYear,fireMonth
873,ROMERO,2000,8
926,BECK,2000,
263,PINES,2002,8
264,PALM#1,2002,
508,BLUE CUT,2002,6
518,LOUISIANA,2002,6
506,COYOTE,2003,7
512,OLD,2003,11
911,NEW IDRIA,2003,5
82,VERBENIA,2004,7
856,HWY166,2004,
929,BASALT,2004,5
76,ELM,2005,6
78,INDIAN 2,2005,9
271,PARADISE,2005,6
505,BLAISDELL,2005,8
565,HACKBERRY COMPLEX 1,2005,6
678,SODA,2005,6
721,DOS AMIGOS,2005,6
727,SAN LUIS,2005,
261,SAWTOOTH COMPLEX,2006,7
673,BLAIR,2006,
73,LOS FLORES,2007,4
283,DOS PALMAS,2008,4
935,BROWN,2008,6
938,ROMERO,2008,7
939,COTTONWOOD2,2008,7
941,AVENAL,2008,8
946,PARKWAY,2009,6
291,TECOPA,2010,8
296,NARROWS,2010,6
356,HAUGHTELIN,2010,5
1087,WASH,2010,5
1092,COTTON,2010,5
311,RANGE,2011,
314,EAGLE,2011,7
316,CABAZON,2011,
410,WINDY POINT,2011,9
968,REED,2011,9
971,ROMERO,2011,7
974,SODA,2011,9
329,BANNER FIRE,2012,5
359,SENATOR,2012,
400,VIEW,2012,6
417,STEWART,2012,8
975,TURKEY,2012,7
331,MOUNTAIN,2013,7
332,RIVER,2013,2
335,FELIPE,2013,
418,POWERHOUSE,2013,6
531,TRAM,2013,8
1094,SCHOOL,2014,4
997,MCCABE,2015,7
358,TOPOCK,2016,4
360,ALAMO,2016,8
409,PILOT,2016,8
414,BLUE CUT,2016,8
1086,SODA,2016,6
1107,SANDY,2016,7
368,DRAPER,2017,10
383,MATZ,2017,5
392,TECOPA,2017,9
1021,HUDSON,2017,7
1045,GARZA,2017,7
351,MOFFAT,2018,5
1108,LAKE,2020,9
1109,DOME,2020,9
1110,BOBCAT,2020,9
1111,MINERAL,2020,7
1112,DEL PUERTO,2020,10
