obsID,kingdom,phylum,class,order,family,genus,species,ScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,fireSite,fireYear,fireSize,fireID,desert
464,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.286175,-116.440214,2017-01-29T13:15:00,29,1,2017,HUMAN_OBSERVATION,iNaturalist,PALM#1,2002,94.97114,264,Sonoran
464,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.286175,-116.440214,2017-01-29T13:15:00,29,1,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
2913,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,33.375444,-116.534831,2017-02-26T15:58:21,26,2,2017,HUMAN_OBSERVATION,iNaturalist,COYOTE,2003,18704.78,506,Sonoran
2971,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,35.132071,-115.434535,2018-05-19T17:33:00,19,5,2018,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.3,565,Mojave
3258,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.139283,-116.445976,2018-10-13T08:55:48,13,10,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
3361,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,34.047443,-116.570277,2019-05-19T10:01:00,19,5,2019,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726,271,Mojave
6006,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.25319,-115.51266,2019-06-29T00:00:00,29,6,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
6433,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.893092,-116.648406,2012-12-21T00:00:00,21,12,2012,HUMAN_OBSERVATION,iNaturalist,BLAISDELL,2005,5491.788,505,Sonoran
6442,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.250691,-116.478575,2021-05-26T10:13:00,26,5,2021,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
6827,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.721104,-116.572082,2019-08-01T08:11:00,1,8,2019,HUMAN_OBSERVATION,iNaturalist,MOUNTAIN,2013,27523.67,331,Sonoran
6996,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.154944,-116.482596,2021-02-19T11:01:19,19,2,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
7088,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.690111,-120.914665,2022-01-03T15:21:00,3,1,2022,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.915,935,San Joaquin
7280,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.128107,-116.496596,2021-05-22T19:34:00,22,5,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
7442,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis familiaris,,34.420462,-117.868767,2020-05-13T08:50:25,13,5,2020,HUMAN_OBSERVATION,iNaturalist,BOBCAT,2020,115997.5701,1110,Mojave
8449,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,35.163239,-115.457143,2009-05-17T00:00:00,17,5,2009,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.3,565,Mojave
8539,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.257227,-116.479508,2018-05-27T10:55:06,27,5,2018,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
8805,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.351532,-116.509418,2021-10-31T11:35:00,31,10,2021,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
8845,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,Ammospermophilus nelsoni,,36.717083,-120.928309,2015-01-31T10:49:00,31,1,2015,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.915,935,San Joaquin
8911,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.321722,-116.496453,2019-03-08T10:10:00,8,3,2019,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
9163,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.70639,-120.922588,2020-01-04T14:33:00,4,1,2020,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.915,935,San Joaquin
9169,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,34.047086,-116.5691,2019-09-09T07:37:00,9,9,2019,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726,271,Mojave
9197,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.345671,-116.514808,2016-04-24T14:53:58,24,4,2016,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
9462,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.342772,-116.497637,2021-01-01T16:42:00,1,1,2021,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
9631,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.116638,-116.547982,2015-05-03T11:37:00,3,5,2015,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
9637,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.330674,-116.475288,2010-01-24T15:41:00,24,1,2010,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
9762,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.680301,-120.918945,2016-02-28T09:19:37,28,2,2016,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.915,935,San Joaquin
